,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
738,ALEXANDER MANN BPO SOLUTIONS (SINGAPORE) PTE. LTD.,"Equities, VP, Core Java Senior Software Developer, Global Markets Technology","SGX CENTRE I, 2 SHENTON WAY 068804","Permanent, Full Time",Professional,"Banking and Finance, Information Technology","$10,000to$18,000","Roles & ResponsibilitiesAbout Bank of America Merrill Lynch:  Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of financial products and services, from banking and investments to asset and risk management. We cover a broad range of asset classes, making us a global leader in corporate and investment banking, sales and trading.                              Connecting Asia Pacific to the World Our Asia Pacific team is spread across 23 offices in 12 markets. We are focused on connecting Asia to the world and the world to Asia, using our global expertise to ensure success is shared between us, our clients and our communities. Our regional footprint covers 12 currencies, more than a dozen languages and five time zones, placing us firmly among the region’s leading financial services companies. Bank of America Merrill Lynch is committed to attracting, recruiting and retaining top diverse talent from across the globe. Our diversity and inclusion mission is to actively promote an inclusive work environment where all employees have the opportunity to achieve personal success and contribute to the growth of our business. Each of our global Employee Networks bring together employees, create dialogue and awareness in support of our Diversity and Inclusion mission. Bank of America Merrill Lynch is an equal opportunities employer. Position Description Background: The Electronic Trading Technology (ETT) team supports the Electronic Trading business in the Global Markets and Investment Banking Group. The team provides innovative solutions for Low Touch Trading, which includes Client Connectivity, Low Latency Market Access, Execution Strategies, Algorithmic Trading, Workflow, Analytics and Internal Crossing. This position is for a role in the Trading Engines development team, focusing on benchmark algorithms, smart order routing, and internal crossing. Key Responsibilities  Develop and extend our systems for performance, coverage and new functionality. Work with technology and business groups in the region and globally to deliver high quality products in a fast-paced environment. Provide production support for applications. Manage project deliveries independently. Work on Full development cycle, inclusive of automation QA. Communicate and discuss with Business Owners on Specifications. ","RequirementsKey Requirements  Strong core Java fundamentals, including multi-threading, garbage collection concepts and performance tuning Knowledge in both Java and C# will be an advantage Good design sense, including knowledge of effective design approaches in this domain Possess a mindset of constant innovation & ownership of quality via automation & tools Strong understanding of Agile methodology, test driven development & continuous integration Strong analytical skills required to provide solution for complex business requirements Team Player – Must be able to work with and mentor junior members as well as take direction from seniors Good communication skills and ability to coordinate different tasks and work with different stakeholder groups Electronic trading or Equities business knowledge will be an advantage. "
739,DBS BANK LTD.,"Senior Associate / Associate, Avaloq Support Analyst, Group Consumer Banking & Big Data, T&O(1800033I)",NONE,"Permanent, Full Time","Executive, Senior Executive",Banking and Finance,"$4,000to$8,000","Roles & ResponsibilitiesJob Purpose  To provide Day to Day support of all applications supporting DBS Wealth Management business.   Key Accountabilities   Day to Day support of all applications supporting Wealth Management business Monitor critical components of the system and troubleshoot problem areas.  Analyze and respond to queries and issues raised by end users in an effective and timely manner. Work closely with development team to provide fixes for critical application issues. Perform duties relating to system maintenance to ensure smooth usage of application and adherence to compliance   Responsibilities   Ability to perform Avaloq Parameterization, Integration with External System. Ability to perform business analysis, impact analysis in a structured manner. Manages support phone to ensure that end-of-day batch jobs and files are processed and monitored. Coordinates with Vendor for solution delivery and release upgrade. Participate in Business Continuity Planning and Exercises.  Participate in Release Management activities for Wealth Management systems.  Participate in preparing ad-hoc reports for users.  ","Requirements 5+ years of experience with Degree in Business Information Science, Computer Science or Engineering disciplines  Avaloq-certified Professional preferred. Strong knowledge and experience in Oracle PL/SQL is a must. Good knowledge on Unix commands and scripting  Minimum 3 years of experience in IT application support in banking industry. Excellent interpersonal and Communication skills. Experience in IBM websphere MQ, Connect Direct, SSH, Tivoli workload scheduler, Linux/Unix environments.  Able to articulate well on solution(s) Team player  "
740,EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,Junior Business Analyst,"MARINA BAY FINANCIAL CENTRE, 10 MARINA BOULEVARD 018983",Permanent,Junior Executive,Banking and Finance,"$3,400to$4,500","Roles & Responsibilities Assists Senior Business Analyst to elicit requirements from key stakeholders, applying effective elicitation methods/ standards/tools. Maintains relationships with key stakeholders. Assists Senior Business Analyst to liaise with service providers to ensure understanding of requirements and limitations of solutions. Analyses and validates requirements using a systematic, disciplined and analytical approach to problem solving. Performs data analysis to cleanse & standardize data and to ensure data consistency and quality. ","Requirements 1 – 3 years of experience as a business analyst within asset management or equivalent industries. Familiar with Asian markets and regulatory practices.  Have strong interpersonal skills, able to communicate effectively and proactively with external and internal stakeholders. Experienced in using business analyst methods such as flow charting, requirements capturing, stakeholder analysis, use cases, brainstorming, solution prototyping, and traceability. Working knowledge in portfolio management, performance & attribution, pre/post trade compliance, liquidity management, trade execution and other buy side trade life cycle and monitoring processes. Working experience in major asset classes and associated analytics. "
741,THE NIELSEN COMPANY (SINGAPORE) PTE. LTD.,"Manager,Marketing Mix Modelling (Delivery)","GOLDBELL TOWERS, 47 SCOTTS ROAD 228233","Permanent, Full Time","Manager, Executive",Marketing / Public Relations ,"$4,400to$7,500","Roles & ResponsibilitiesThis role belongs to the Marketing/Sales Effectiveness Practice which is to identify the optimal path to improve effectiveness of clients' marketing (or sales) strategy/activities via advanced analytical solutions.    The mission of this role is to help our clients identify their business opportunities or solve their business issues, by proposing optimal analytical solutions and delivering the analysis with actionable business insights, based on deep understanding of client needs and robust analytical expertise across varied Nielsen solutions. Once a project is commissioned, the individual in this role will collaborate with internal modeling hub on most solutions, translating client needs into detailed analytical requirements for the modeling hub, and drawing/reporting actionable business insights out of the modeling/analytics outcome to meet clients' business needs. Through this, this role will build client satisfactions, leading to sustainable revenue for Nielsen.    To achieve this mission, the individual will be responsible for:    Accountable for leading analysis projects on assigned Marketing/Sales Effectiveness solutions and ensure the assigned study deliverables meet client needs with actionable insights in a timely manner, as well as company's quality standards, under a supervision of a manager.   Analytical mastery of assigned Marketing (or Sales) Effectiveness solutions, and technical mastery by collaborating with internal solution experts/modeling hub. Translate client needs into study design and detailed analytical requirements, for flawless briefing to the modeling hub. Gather necessary data for analysis from clients or other internal departments in Nielsen, and review quality of the data, to feed the modeling hub. Guide the modeling hub to ensure timely modeling execution following Nielsen quality standards. Interpret modeling outcomes from the hub with actionable business insights to fully meet client needs and company's quality standards. Assist in the analysis and report development for clients, including charting. Assist in answering inquiries from clients on the analysis of outcomes. Support senior members of the team in proposal development, including detailed solution specs finalization, collaborating with internal solution experts, and preparation for proposal presentations. Recommend improvements in work processes within area of responsibility. ","Requirements BA/BS in numerate discipline required. Robust logical/analytical thinking. Strong Problem-solving capability, sometimes through out-of-box thinking. Excellent communication skills, can articulate concepts simply and concisely to the point. Strong mindset on accountability, results oriented; one who takes initiatives & follow-through. Robust statistical knowledge. Strong Excel and PowerPoint skills. Able to convert ideas into powerful visualizations & charts. "
742,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
743,TECH MAHINDRA (SINGAPORE) PTE. LIMITED,Business Analyst,"HONEYWELL BUILDING, 17 CHANGI BUSINESS PARK CENTRAL 1 486073",Permanent,Executive,Information Technology,"$6,000to$7,500","Roles & ResponsibilitiesJob Requirements  Degree in Information Technology, Computer Science, or its equivalent. At least 6 years of relevant working experience. Telecommunications products/services Good oral and written communication skills. Must be proactive, resourceful and self-motivated with strong analytical skills. Ability to liaise with vendors in managing projects delivery Good interpersonal, written and communication skills. Experience in software and application development that requires analysis and design work. Review of test plans and test cases for SIT Knowledge of mCommerce / mPayments / API brokers and gateways / Portals / partner on-boarding ","RequirementsJob Functions:   To be a techno business analyst and support Customer Success Managers (CSMs) in their engagements with internal business units Requirements gathering, analysis, business process documentation, business modelling, information modelling End to end ownership, covering infrastructure, application, tools, governance process, performance, availability and technical expertise on Telco OSS / BSS / mCommerce / Web Portals / API gateway domains  Support/Enhancements/Projects  Evaluate and map Business Requirements into Systems Requirements. Handling of user queries. Provide SIT/UAT support. Any other and timely completion of tasks assigned by the Team Leader. Liaise with our vendors on the operations and development work. "
744,CERTIS CISCO SECURITY PTE. LTD.,Data Scientist,"CERTIS CISCO CENTRE, 20 JALAN AFIFI 409179",Full Time,Senior Executive,Information Technology,"$6,000to$10,000","Roles & ResponsibilitiesOverview As a Data Scientist in the Technology Planning & Development Office, you will lead advanced data analytics and AI projects across the organization. You will support our business units to analyze large-scale structured and unstructured data and develop Machine Learning (ML) applications across various fields of computer vision, natural language processing and operations research. You will be part of a team of high-performing data science professionals, ranging the competency gamut from data engineers, data analysts, business analysts, application developers and fellow data scientists. You will lead cross-functional teams to identify business opportunities, optimize operational and internal business processes and deliver cutting-edge AI applications.  Responsibilities  Provide relevant subject matter expertise across AI/ML/Deep Learning domains in the form of algorithm analysis, model building, training and evaluation, and systems best practices for data products Create AI applications that support our security operations, such as Facial Recognition, Video/Image Analytics, Natural Language Processing (chatbot), Graph Analysis Keep abreast of the latest trends and developments in the fields of AI, Data Analytics and Big Data; to evaluate potential technology solutions and incorporate those into our Data Platform whenever feasible Craft compelling data stories to get “buy-in” from stakeholders so that analytics results can be translated into actionable decisions Conduct ML and Data Analytics workshops for non-technical staff within the organization as part of the team’s effort to inculcate a data-driven culture Mentor and guide junior data science teammates to elevate their competencies All other duties assigned by your reporting officer ","RequirementsQualifications  Postgraduate degree (Master’s, Ph.D.) with a specialization in Computer Science,   Engineering, Mathematics or Statistics Setting or research fieldAt least 2 years of experience in an advanced analytics / AI role in a corporate  Strong mathematical and statistical foundations  Skills and Experiences  Proficient with at least two of the usual suspects of data analytics – Java, Scala, Python, R, MATLAB, Octave, Julia Comfortable operating in the Unix/Linux environment for automating processes with shell scripting• Understanding of relational (SQL) and NoSQL databases Familiar with data visualization techniques and tools, e.g. D3.js, Tableau Experience with Big Data technologies such as Hadoop (MapReduce and YARN), Pig, Hive, Spark, Storm, Presto "
745,GRABTAXI HOLDINGS PTE. LTD.,Head of User Research,"OUE DOWNTOWN, 6 SHENTON WAY 068809",Full Time,Senior Management,Others,"$10,000to$20,000","Roles & ResponsibilitiesGet to know the Role:   Grab is seeking Head of User Experience Research to help drive the continued blending of complexity product and elegant design.  We are looking for someone who can think holistically and systemically. The perfect candidate will help the team gel and grow. From knowing users, getting inspirations, generating and verifying concepts to ship craft artifacts that delight and engage our users, working closely with Business owners, Consumer insights, Design, User Research, Product analytics, functional peers, and our development partners. Above all, they have craft, whether through pixels or code, they can bring an experience to life that communicates, meanwhile demonstrates the product vision and business value.","RequirementsThis is a new role for Grab. The successful candidate will help shape and define the User Research team moving forward. Developing processes and approaches that mesh well with the needs of the product design team as a whole. You will design and deliver impactful research that guides our work and brings the voice of the user to all we do.  The day-to-day activities:   Lead UX research and drive product value through key UX research activities across different business units.   Define and measure success of research initiatives on product design lifecycle.   Advocate for the users’ needs and experience with different stakeholders and be persuasive in creating change based on research.   Align the strategy and vision of the UX Research team with key business objectives and with the top management. Set tangible and measurable KPIs for the team.   Build internal research capabilities. Be a mentor to others on the team and advocate new research approaches that increase the team’s capabilities. Managing and acquiring UX resources and tools.   Manage the research team including project management, personal development of team members etc.   Collaborate with other insight teams such as product analytics, market research to come up with robust and contextual research insights.   Evangelize the benefits of research driven design across the entire organization. Provide educational content and training for the same.   Leverage metrics, optimization, qualitative and quantitative research to inform product design decisions and directions.   Guide product design members to solve the right problems by the right path with best practice, including inception workshop, user research, brainstorming, design assets, concept verification till post rollout.   Be in charge of creating a repository of insights that stakeholders can tap into for making critical decisions.    The must haves:   Masters degree in HCI, Psychology or related field.   10+ years of relevant Product / Design Research, Analytics or Insights experience   5+ years’ experience in detailed data analysis.   5+ years leading and managing large scale team.   Deep understanding of current quantitative and qualitative user centered design methodologies, modeling, analytics, and what method to apply to best answer the business objective.   Deep understanding of design principles and process, both online and offline experience (visual design, product design, service design,  user research, content writing, prototyping etc.)   Experience with and understanding of a variety of design, project management, and development processes and methodologies including agile development   Strong business acumen and collaborative skills.   Proven ability to develop business cases for UX research for adoption into key initiatives and projects.   Ability to sell value of design across the organization developing compelling value propositions and evangelizing them effectively.   Excellent verbal, written, and interpersonal communications skills, including the ability to communicate concepts to both technical and non-technical audiences including executive management.   Continuously improve processes and procedures affecting the work of the team     Additional Preferred Qualifications   Experience across multiple ecosystems and platforms (PC, mobile, web, console, etc.), transportation service, combined online and offline experience a plus.   Experience managing vendors and/or vendor and management consulting experience   Experience with design tools (sketch, Illustrator, etc.), prototyping tools (Invision, Framer, Processing, Unity, etc.)     Portfolio review required Get to know Grab: Grab is more than just the leading ride-hailing and mobile payments platform in Southeast Asia. We use data and technology to improve everything from transportation to payments and financial services across a region of more than 620 million people. We work with Working with governments, drivers, passengers, merchants, and the community, to solve critical problems in Southeast Asia. Grab began as a taxi-hailing app in 2012, but we have since extended our product platform to include GrabCar, GrabShare, GrabBike, GrabHitch, GrabExpress, GrabFood, GrabCoach, GrabShuttle, GrabCycle. We recently launched our fintech platform – GrabFinancial, which consists of payments, lending and insurance. Our latest addition is GrabVentures, an in-house incubation platform. We are focused on pioneering new commuting and payment alternatives for drivers and passengers with an emphasis on convenience, safety, and reliability. Currently, we offer services in 8 countries. Our R&D offices are in Singapore, Seattle, Beijing, Bangalore, Jakarta and Vietnam. We aspire to unlock the true potential of Southeast Asia and look for like-minded individuals to join us on this ride. If you share our vision of driving South East Asia forward, apply to join our team today."
746,Company Undisclosed,Manager,NONE,Full Time,Manager,Others,"$4,000to$6,000","Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels."
747,A*STAR RESEARCH ENTITIES,Research Officer in Machine Learning and Computational Biology (BMDD) /  BII (A*STAR),NONE,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,"$2,500to$5,000","Roles & ResponsibilitiesAbout the Bioinformatics Institute (BII)  The Bioinformatics Institute (BII) is an institute of the Agency for Science, Technology and Research (A*STAR). BII was set up in July 2001 as part of the national initiative to foster and advance biomedical research and human capital for a vibrant knowledge-based Singapore. With a multi-disciplinary focus and collaborative outlook, BII recognises the need for depth and breadth in all its activities for building a thriving world-class biomedical research, graduate training and development hub in Singapore. In addition, BII is proactively involved in building a national resource centre in bioinformatics to meet the evolving needs of the scientific community in Singapore.   For more information about A*STAR and BII , please visit www.a-star.edu.sg and  and www.bii.a-star.edu.sg respectively.   A Research Officer position in the areas of machine learning and computational biology is immediately available in the Machine Learning for Bioimage Analysis Group (http://web.bii.a-star.edu.sg/~chengli) and Structure-based Ligand Discovery and Design Group (https://web.bii.a-star.edu.sg/~fanh) at Bioinformatics Institute (BII), Agency for Science and Technology Research (A*STAR). The Cheng lab focuses on developing novel machine learning methods to address biodata analysis problems. The Fan lab focuses on developing novel structural modeling methods to study the interactions between biomolecules and small molecule ligands.  Responsibilities  The successful candidate will help in developing machine learning techniques with a focus on addressing structural biology problems. The candidate has the opportunity to work in a highly interdisciplinary and stimulating environment.","Requirements BSc in computer science and engineering, or related disciplines. Strong programming skill. Background knowledge of machine learning will be a big plus. Prior knowledge in structural biology is not required however it is important to have an Interest in biological sciences. ​Strong problem-solving skills, and able to work independently  ​ The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
748,SHOPEE SINGAPORE PRIVATE LIMITED,Developer,"GALAXIS, 1 FUSIONOPOLIS PLACE 138522","Permanent, Full Time",Executive,Information Technology,"$8,500to$17,000","Roles & ResponsibilitiesResponsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds       ","RequirementsRequirements:   Minimum B.S. degree in Computer Science or a related technical field Excellent communication skills with the ability to identify and communicate data driven insights 2+ years of Python development and Unix/linux system experience 2+ years of SQL (Mysql, Mssql, Hive, etc) experience You must also possess at least 2 of the additional requirements as below 2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix 2+ years of working experience with distributed databases or distributed systems 2+ years of working experience with dimensional data modelling & schema design in Data Warehouses 2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)       "
749,PEOPLEBANK SINGAPORE PTE. LTD.,Business Analyst,"ROBINSON CENTRE, 61 ROBINSON ROAD 068893","Contract, Full Time",Executive,Information Technology,"$4,000to$5,500","Roles & Responsibilities  Prepare activity plans to identify pre-operations checks, actual operations activities and post-operations exercises required for each of the managed operations (e.g. Onboarding).   Manage and track activities to their completion.   Participate in the preparation of functional tests prior to major critical operations by assisting in defining key scenarios and creating test data for testing.   Prepare stabilization and monitoring plans for new critical functionalities that are to be released.   Track, monitor and report on the usage of the application system and progress of critical operation activities. Work with support engineers on the relevant scripts required for these.   Coordinate with companies in rectifying data discrepancies (where applicable).   Work with support engineers to prepare contingency plans, procedures and scripts to ensure business continuity.   Conduct contingency dry-runs to assess readiness and feasibility of contingency plans.   Draft and apply procedures to ensure accuracy of output.   Adopt continuous improvement approach.   May coordinate the work of a small team, may or may not be reporting to you.   Share knowledge and experience with others.   Assist less experienced or temporary staff.  ",Requirements Operations Management Activity Planning and Support - Trained Requirements Gathering and Analysis - Proficient Knowledge of ITIL Processes - Trained Tools: ServiceNow  Interested candidates may send CV to cecil.mangilin@peoplebank.asia or apply online.
750,BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Temp SharePoint Software Developer (Contract: 3 Months),"SINGAPORE SHOPPING CENTRE, 190 CLEMENCEAU AVENUE 239924",Contract,Executive,Information Technology,"$3,000to$5,000","Roles & ResponsibilitiesThe SharePoint Software Developer applies current graphics design and .NET technologies to develop, modify, maintain SharePoint server portals.  Design, develop, and manage site content and capabilities and provide daily onsite maintenance of the existing MOSS portals.   Primary Responsibilities   As a SharePoint Developer you will be able to perform the following duties:    Develop software solutions by studying requirements analysis and information needs; conferring with stakeholders and IT Management; studying systems flow, data usage, and work processes; perform software design using software development fundamentals and processes, debug, test, and deploy software solutions. Design, develop and maintain key components of the software suite using classic ASP, Microsoft .Net and SharePoint 2013. Implementation of SharePoint-based workflows as well as development of Business Intelligence dashboards. Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code. Build proof of concept examples or graphical simulation software.  Then maintain product test software and demos for training purposes. Protect operations by keeping information confidential. Actively participate in product design reviews by providing creative and practical ideas and solutions in a teamwork environment.  A wide degree of creativity and latitude required.     ","RequirementsContract Duration    3 Months      Working Location    Bugis      Working Hours    5 Days (Mon to Thur: 8.30am to 6.00pm / 9.00am to 6.30pm; Fri: 8.30am to 5.30pm / 9.00am to 6.00pm)      Requirements    Experience programming in .NET 3.5, C#, ASP.NET, T-SQL, C/C++, XML.  Experience with SharePoint Designer, InfoPath, Web Parts, and workflow creation. Experience using jQuery, Client Object Model, and Service Oriented Architecture. Experience with SharePoint’s application services framework including implementation, configuration, and usages of Search, Managed Metadata, and User Profile Services. Microsoft MCPD 70-576, SharePoint 2010/2013 Designing and Developing Applications certification is a plus but not required. Ability to write Stored Procedures, write SQL queries, and ability to analyse the SQLdata is desired. Experience with SQL Server Reporting Services, SQL Server Analysis Services, and/or SQL Server Integration Services a plus. Bachelor’s degree in Computer Science, Information Systems; or related discipline is desired. Attention to detail and commitment to high quality/error free deliverables. Must be motivated, independent and self-sufficient.  Able to receive an assigned task and see it through to completion with minimal supervision.    Interested applicants may email your resumes with expected salary to je@businessedge.com.sg  "
751,OSIM INTERNATIONAL PTE. LTD.,CRM MANAGER,"OSIM HEADQUARTERS, 65 UBI AVENUE 1 408939",Permanent,Manager,"Customer Service, Marketing / Public Relations ","$4,000to$5,000","Roles & Responsibilities    CRM Manager  We’re looking for an ambitious and talented CRM Manager to set up, execute and optimise customer engagement programmes, targeted e-mail and push campaigns in 5 markets across Asia – SG, CN, HK, TW, MY. Reporting to OSIM Marketing Director, you will be part of the Brand Strategic Marketing Team to support the growth and development of CRM initiatives.   As a data-driven marketer, you will constantly be curious to learn more about customer behaviour and key purchase drivers. You will champion the continuous improvement of the cross-channel customer journey and communication touchpoints including maximising dynamic content, targeting, personalisation, template development in collaboration with multiple stakeholders. You also will possess solid experience leading data-driven customer lifecycle programmes, growing customer databases and customer retention. You will also need to understand the intricacies of the customer retention programme including benefits, services, how to operationalise offers and leverage appropriate processes to successfully execute initiatives.  CRM & Lifecycle Programme   Develop strategies and tactics at customer engagement and strategies at BSM level and responsible for ensuring alignment with the brand direction. 	  Identify sales activation opportunities to leverage tools and programmes produced by BSM and conversely, identify opportunities to develop market-specific programmes and integrate them into the BSM initiatives when appropriate 	  A primary focus and responsibility will be to develop, oversee and implement customer life-cycle programmes for each market. 	  Plan, lead and manage development and execution of customer communications, including developing messaging/offer matrix, determining targeted audience, testing communications and reporting Work with other team members at BSM to create content that is relevant and engaging with each strategic customer segment 	  Work with V3 CRM Analyst to identify new customer segment opportunities, conceptualise and implement customer activities designed to build a loyal customer base 	  Serve as the lead CRM marketing contact person between V3, BSM and country offices. 	  Coordinate with BSM web development team and local teams to ensure initiatives can be executed and delivered in local level.    Leads & CRM Database Management   Custodian of leads and customer database with specific responsibility for maintenance and management of customer data to ensure data integrity including data reconciliation, data integration and data audits 	  Work with V3 CRM Analyst to drive maturity in data collection where data availability is not at required level. 	  Work with V3 CRM Analyst to manage transformation, consolidation and integration of all data sources (inbound and outbound) from various internal customer master and third party sources 	  Responsible for delivery of analysis/insight, including development of metrics and KPI’s for marketing and campaign measurement 	  	 Sales data Lead and Customer data Online and offline channels performance data Campaign and promotion data     Work closely with country marketing ops teams to scope externally-provided data from partnership engagement and analytics support, database warehousing requirements and campaign execution.    Analysis & Reporting   Analyze customer behaviour including behavioural customer profiling, life cycle analysis, customer segmentation and market basket analysis 	  Evaluate the effectiveness of marketing tactics, strategies and techniques 	  Build and own the customer segmentation to support the sales and marketing businesses across the group 	  Develop customer lifecycle profile for each customer segment for precision marketing 	  Work with CRM Analyst to design, programme, generate and automate concise KPI reports and/or dashboards that track marketing effectiveness and ROI 	  Owner of CRM KPI reporting and driving of the reporting cycle. Find paths of growth and positively impact 	  	 Lead and Customer acquisition strategies Spend across touchpoints Spend across channels Strategic planning inputs 		       ","Requirements Good degree in Business, Mass Communications, Marketing or equivalent, with at least 10 years of relevant working experience. Experience managing a loyalty program is a major plus. 	  Experience project managing CRM campaigns from start to finish 	  Comfort working with large customer databases for marketing purposes 	  Comfort working and communicating directly with stakeholders, either in briefings or presentations 	  Comfort managing multiple workstreams simultaneously 	  Excellent written and oral English skills 	  High attention to details, with ability to work under pressure and manage multiple, competing priorities simultaneously 	  A team player that is happy to step outside of his/her ‘position description’ to assist   "
752,HELIUS TECHNOLOGIES PTE. LTD.,Business Analyst Project Manager,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Permanent,Senior Executive,Information Technology,"$10,000to$14,000","Roles & ResponsibilitiesBe the subject matter expert for users and IM Technical solution manager, developers on the changes required in the applications that it integrates to and the overall IT architecture development from the business perspective Drive the implementation of  Life BAU projects / enhancements with Business stakeholders, IM, vendors Manage the stakeholders from IM and business departments (across various levels) , including: Work with users on the yearly business plan, plan in budget to support business initiatives Chair and run quarterly prioritisation meeting with Life management and other departments to share cost and planning for the quarterly enhancements for Life Insurance business lines","RequirementsBusiness Requirements are delivered according the change request raised Effort estimates are appropriate for the change requirements raised Deliveries from vendors and developers meets standards and user requirements Responsible for planning the BAU takeover for new initiatives (related to Life Business) with project team/ Competency manager before system go live to ensure a smooth transition; to set up BAU team to take over and support when system go live Ensure integration to Front End Point of Sales Tools, Back Office Support and Realigning the process and procedures for Front-end Life Processes are optimized with the adoption of new technologies across the business and the relevant supporting units.  To manage a team of BAs that support Life business, this include task assignment and monitoring, provide coaching and mentoring, motivate staff to maximize their performance and potential, building and develop the team member’s competency and skillset to support life business or any project initiatives."
